image_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2007_000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_000175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_000250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_000272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_000504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_000528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_000572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_000584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_000663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_000664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_000720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_000738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_000876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_001073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_001185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_001420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_001487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_001595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007_001698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_001763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_001774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_001825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_001857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_001884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_001901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_002079,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_002132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_002216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_002281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_002344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002426,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007_002427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002597,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007_002648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_002903,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007_003000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007_003088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_003118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_003134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007_003143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
