,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,35843767,9035,51436,2338,8359,40010,368,100421,10770,22132,50921,198519,5809,1,65,1519,0,0,0,0,0,0,9021,0,4802,7148,3462,22754
1,82750,57313,14870,0,42,8889,383,5516,2740,726,3930,1516,225,0,0,0,0,0,0,0,174,0,30,0,0,70,509,0
2,402863,12075,318005,1133,990,23845,306,13153,3435,8957,9063,36748,3498,0,0,0,0,0,0,0,0,0,239,0,0,264,2044,0
3,26214,0,9572,15060,0,1796,0,1813,0,339,2062,7464,644,0,0,0,0,0,0,0,0,0,34,0,0,85,243,0
4,16245,0,309,0,7330,0,0,155,0,0,1452,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0
5,245175,1904,23009,0,10119,223585,0,10843,1624,2806,20239,10104,255,0,0,59,0,0,0,0,0,0,310,0,0,725,674,0
6,18531,4314,5491,0,0,4847,859,421,58,253,2068,950,919,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0
7,272762,426,2822,68,296,1845,0,357295,52,7973,3022,18773,6831,0,0,0,0,0,0,0,0,0,5923,0,3321,1016,0,0
8,60051,73,495,0,0,93,0,4433,34948,1118,459,427,1329,0,0,0,0,0,0,0,0,0,538,0,0,4,0,0
9,147905,0,3354,143,29,1166,0,18798,8005,151816,4021,58017,166,0,0,0,0,0,0,0,0,0,616,0,175,895,0,0
10,164761,0,2070,0,15487,26683,255,10971,151,1194,185064,17918,58,0,0,0,0,0,0,0,0,0,319,0,0,262,120,0
11,823074,46,13353,2217,1135,6156,0,9970,850,32872,35841,1318085,18227,4,0,0,0,0,0,0,0,0,3029,0,32,3479,335,6861
12,36438,0,2696,0,4097,618,0,8036,3780,0,1585,20215,14032,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
13,5183,2,0,0,1277,224,0,179,0,14,10114,1738,0,815,0,0,0,0,0,0,0,0,75,0,0,0,46,0
14,13192,0,20,0,0,0,0,0,51,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,27262,0,0,0,0,0,0,50,0,0,0,0,0,0,0,6322,0,0,0,0,0,0,0,0,0,0,0,0
16,19343,0,36,0,0,0,0,0,0,0,0,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,73,152,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4633,0,111,0,0,14,0,11,0,1,174,182,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2011,0,677,0,0,37,71,93,24,79,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4600,0,688,0,44,352,0,1783,427,680,850,5357,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
21,6514,0,0,0,0,70,0,57,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1031,0,1692,0,0,0
22,40731,0,7,0,0,0,0,6523,0,125,1489,239,0,0,0,0,0,0,0,0,0,0,18511,0,752,221,0,0
23,5329,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0
24,199587,0,0,0,0,0,0,1815,0,34,174,740,0,0,0,0,0,0,0,0,0,0,521,0,10710,0,0,0
25,95660,30,2975,45,0,1590,0,2725,330,3958,7153,5457,201,0,0,0,0,0,0,0,0,0,690,0,0,10126,182,0
26,23889,1704,2573,0,244,2362,254,1890,214,17,8386,7063,0,0,0,0,0,0,0,0,0,0,0,0,0,809,5483,0
27,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20275
