,0,1,2,3,4,5,6,7,8,9,10,11,12
0,76490525,13476,12572,84105,2987,23120,1001,8224,4273,34852,0,19983,32260
1,126493,18835,5681,357,0,53,0,3486,0,28,0,0,1876
2,147028,3267,91761,0,0,0,30,0,2,39,0,0,29911
3,197143,0,0,245034,0,0,172,0,0,592,0,10,0
4,35273,0,0,0,63772,372,0,0,0,0,0,0,7650
5,51723,0,0,0,0,58784,0,0,0,0,0,0,0
6,372,0,108,0,0,0,2290,0,0,0,0,0,0
7,12490,0,0,1615,0,0,0,20299,66,104,0,0,0
8,8881,0,0,0,0,0,0,0,5809,545,0,0,0
9,89714,0,12,1414,0,0,0,545,0,90690,0,0,281
10,33670,0,0,0,0,0,0,0,0,0,1543,8355,0
11,12947,0,0,0,0,0,0,452,0,0,0,21488,0
12,109863,7,1518,0,0,216,0,264,0,880,0,0,203404
