epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.078,1.08885,2.17786,2.66287,1.10876,0.61017,0.24768,0.22756,0.15745,0.60645,0.24075,0.22105,0.13696,1.07152,2.06416,1.63515,1.06195,0.00333216,0.00333216,0.00333216
2,492.272,1.03249,2.00203,1.78318,1.07727,0.55153,0.26491,0.26515,0.17571,0.54974,0.25838,0.26171,0.15898,1.11414,2.15322,1.53673,1.07506,0.00659951,0.00659951,0.00659951
3,728.653,1.07655,2.05971,1.73743,1.09549,0.55818,0.29518,0.27233,0.1819,0.55341,0.28993,0.26554,0.16259,1.11184,2.16091,1.49007,1.08339,0.00980085,0.00980085,0.00980085
4,964.845,1.07238,2.05478,1.66141,1.09528,0.57009,0.29668,0.30514,0.20546,0.57168,0.29092,0.29902,0.18435,1.08882,2.03267,1.39148,1.07032,0.009703,0.009703,0.009703
5,1199.71,1.02588,1.97114,1.53677,1.07456,0.56391,0.32724,0.31327,0.21758,0.55326,0.32278,0.3039,0.19044,1.02944,1.96733,1.33742,1.04,0.009604,0.009604,0.009604
6,1430.94,0.98901,1.9142,1.46172,1.05909,0.59979,0.34459,0.34587,0.23721,0.57775,0.33422,0.33552,0.21451,0.99668,1.91534,1.251,1.0264,0.009505,0.009505,0.009505
7,1664.26,0.96711,1.88009,1.41454,1.04944,0.5733,0.34538,0.35988,0.25258,0.5678,0.33879,0.35176,0.22462,0.96854,1.85812,1.20138,1.01657,0.009406,0.009406,0.009406
8,1894.03,0.95346,1.8517,1.38101,1.04281,0.515,0.3625,0.37008,0.25994,0.51727,0.36134,0.36372,0.22772,0.95235,1.82229,1.19305,1.00457,0.009307,0.009307,0.009307
9,2127.33,0.93498,1.82379,1.35561,1.03557,0.57191,0.35634,0.37955,0.27026,0.56574,0.35281,0.37054,0.23815,0.93826,1.7969,1.16209,1.00067,0.009208,0.009208,0.009208
10,2361.14,0.92789,1.81001,1.33326,1.03315,0.56786,0.37229,0.39316,0.28321,0.5638,0.37049,0.38645,0.24218,0.93066,1.78667,1.14079,0.99729,0.009109,0.009109,0.009109
11,2594.38,0.91836,1.79537,1.31745,1.02782,0.60192,0.3815,0.39781,0.28658,0.59586,0.37609,0.38776,0.24869,0.91272,1.76084,1.12749,0.98971,0.00901,0.00901,0.00901
12,2829.14,0.91167,1.78301,1.30444,1.02503,0.60799,0.3733,0.39826,0.28767,0.59647,0.36884,0.38696,0.24906,0.90716,1.73907,1.11596,0.98506,0.008911,0.008911,0.008911
13,3065.53,0.90341,1.76069,1.28683,1.02279,0.51862,0.39486,0.40493,0.29287,0.54555,0.38975,0.39424,0.25358,0.89879,1.72516,1.10893,0.97972,0.008812,0.008812,0.008812
14,3300.66,0.89961,1.75583,1.28085,1.01978,0.59139,0.38041,0.40738,0.29509,0.5798,0.37705,0.39559,0.2567,0.89255,1.71537,1.09801,0.97796,0.008713,0.008713,0.008713
15,3535.29,0.89231,1.74725,1.26738,1.01662,0.61497,0.39482,0.41163,0.29886,0.60639,0.39146,0.39946,0.25862,0.89301,1.71059,1.08642,0.97789,0.008614,0.008614,0.008614
16,3766.46,0.88834,1.73415,1.25348,1.01476,0.5919,0.39068,0.41656,0.30465,0.57914,0.3886,0.40587,0.2625,0.88474,1.70181,1.08124,0.97469,0.008515,0.008515,0.008515
17,3995.41,0.88434,1.72716,1.24968,1.01308,0.60184,0.39342,0.41924,0.30629,0.59213,0.3888,0.40638,0.26377,0.87996,1.69166,1.0692,0.97112,0.008416,0.008416,0.008416
